Date,Region,Product,Customer Segment,Revenue
2024-02-01,West,Licensing,Enterprise,106557
2024-02-01,West,Licensing,SMB,117189
2024-02-01,West,Licensing,Startups,149109
2024-03-01,North,SaaS,Enterprise,118953
2024-03-01,North,SaaS,SMB,92995
2024-03-01,North,SaaS,Startups,80757
2024-03-01,North,Consulting,Enterprise,49692
2024-03-01,North,Consulting,SMB,85758
2024-03-01,North,Consulting,Startups,112409
2024-03-01,North,Licensing,Enterprise,111211
2024-03-01,North,Licensing,SMB,105697
2024-03-01,North,Licensing,Startups,77065
2024-03-01,South,SaaS,Enterprise,132093
2024-03-01,South,SaaS,SMB,139299
2024-03-01,South,SaaS,Startups,72606
2024-03-01,South,Consulting,Enterprise,51534
2024-03-01,South,Consulting,SMB,134663
2024-03-01,South,Consulting,Startups,80397
2024-03-01,South,Licensing,Enterprise,131387
2024-03-01,South,Licensing,SMB,41016
2024-03-01,South,Licensing,Startups,129789
2024-03-01,East,SaaS,Enterprise,95591
2024-03-01,East,SaaS,SMB,129812
2024-03-01,East,SaaS,Startups,63247
2024-03-01,East,Consulting,Enterprise,64300
2024-03-01,East,Consulting,SMB,114065
2024-03-01,East,Consulting,Startups,122798
2024-03-01,East,Licensing,Enterprise,49268
2024-03-01,East,Licensing,SMB,126807
2024-03-01,East,Licensing,Startups,52185
2024-03-01,West,SaaS,Enterprise,103704
2024-03-01,West,SaaS,SMB,126779
2024-03-01,West,SaaS,Startups,79099
2024-03-01,West,Consulting,Enterprise,48571
2024-03-01,West,Consulting,SMB,145512
2024-03-01,West,Consulting,Startups,78044
2024-03-01,West,Licensing,Enterprise,91214
2024-03-01,West,Licensing,SMB,101228
2024-03-01,West,Licensing,Startups,88984
2024-04-01,North,SaaS,Enterprise,80774
2024-04-01,North,SaaS,SMB,42568
2024-04-01,North,SaaS,Startups,102592
2024-04-01,North,Consulting,Enterprise,107563
2024-04-01,North,Consulting,SMB,42695
2024-04-01,North,Consulting,Startups,88190
2024-04-01,North,Licensing,Enterprise,45258
2024-04-01,North,Licensing,SMB,127538
2024-04-01,North,Licensing,Startups,79504
2024-04-01,South,SaaS,Enterprise,73159
2024-04-01,South,SaaS,SMB,53986
2024-04-01,South,SaaS,Startups,101858
2024-04-01,South,Consulting,Enterprise,52666
2024-04-01,South,Consulting,SMB,78660
2024-04-01,South,Consulting,Startups,43561
2024-04-01,South,Licensing,Enterprise,66854
2024-04-01,South,Licensing,SMB,104505
2024-04-01,South,Licensing,Startups,144488
2024-04-01,East,SaaS,Enterprise,92251
2024-04-01,East,SaaS,SMB,62662
2024-04-01,East,SaaS,Startups,48392
2024-04-01,East,Consulting,Enterprise,70535
2024-04-01,East,Consulting,SMB,118603
2024-04-01,East,Consulting,Startups,92256
2024-04-01,East,Licensing,Enterprise,129135
2024-04-01,East,Licensing,SMB,75222
2024-04-01,East,Licensing,Startups,117373
2024-04-01,West,SaaS,Enterprise,119575
2024-04-01,West,SaaS,SMB,136354
2024-04-01,West,SaaS,Startups,124651
2024-04-01,West,Consulting,Enterprise,103335
2024-04-01,West,Consulting,SMB,50965
2024-04-01,West,Consulting,Startups,64538
2024-04-01,West,Licensing,Enterprise,148066
2024-04-01,West,Licensing,SMB,110592
2024-04-01,West,Licensing,Startups,138018
2024-05-01,North,SaaS,Enterprise,48110
2024-05-01,North,SaaS,SMB,119309
2024-05-01,North,SaaS,Startups,67266
2024-05-01,North,Consulting,Enterprise,92992
2024-05-01,North,Consulting,SMB,122948
2024-05-01,North,Consulting,Startups,138806
2024-05-01,North,Licensing,Enterprise,46910
2024-05-01,North,Licensing,SMB,130982
2024-05-01,North,Licensing,Startups,40206
2024-05-01,South,SaaS,Enterprise,127054
2024-05-01,South,SaaS,SMB,127897
2024-05-01,South,SaaS,Startups,63419
2024-05-01,South,Consulting,Enterprise,90636
2024-05-01,South,Consulting,SMB,90015
2024-05-01,South,Consulting,Startups,147059
2024-05-01,South,Licensing,Enterprise,94268
2024-05-01,South,Licensing,SMB,127939
2024-05-01,South,Licensing,Startups,58141
2024-05-01,East,SaaS,Enterprise,120356
2024-05-01,East,SaaS,SMB,145878
2024-05-01,East,SaaS,Startups,111910
2024-05-01,East,Consulting,Enterprise,96044
2024-05-01,East,Consulting,SMB,107214
2024-05-01,East,Consulting,Startups,73827
2024-05-01,East,Licensing,Enterprise,95820
2024-05-01,East,Licensing,SMB,102623
2024-05-01,East,Licensing,Startups,121734
2024-05-01,West,SaaS,Enterprise,115450
2024-05-01,West,SaaS,SMB,133426
2024-05-01,West,SaaS,Startups,62299
2024-05-01,West,Consulting,Enterprise,83585
2024-05-01,West,Consulting,SMB,149225
2024-05-01,West,Consulting,Startups,104044
2024-05-01,West,Licensing,Enterprise,82557
2024-05-01,West,Licensing,SMB,89080
2024-05-01,West,Licensing,Startups,149556
2024-06-01,North,SaaS,Enterprise,42693
2024-06-01,North,SaaS,SMB,135003
2024-06-01,North,SaaS,Startups,135259
2024-06-01,North,Consulting,Enterprise,109163
2024-06-01,North,Consulting,SMB,65939
2024-06-01,North,Consulting,Startups,88925
2024-06-01,North,Licensing,Enterprise,82941
2024-06-01,North,Licensing,SMB,61834
2024-06-01,North,Licensing,Startups,58047
2024-06-01,South,SaaS,Enterprise,66105
2024-06-01,South,SaaS,SMB,115766
2024-06-01,South,SaaS,Startups,55707
2024-06-01,South,Consulting,Enterprise,61976
2024-06-01,South,Consulting,SMB,84262
2024-06-01,South,Consulting,Startups,63776
2024-06-01,South,Licensing,Enterprise,70080
2024-06-01,South,Licensing,SMB,106842
2024-06-01,South,Licensing,Startups,101373
2024-06-01,East,SaaS,Enterprise,46776
2024-06-01,East,SaaS,SMB,132787
2024-06-01,East,SaaS,Startups,95016
2024-06-01,East,Consulting,Enterprise,49474
2024-06-01,East,Consulting,SMB,145830
2024-06-01,East,Consulting,Startups,98053
2024-06-01,East,Licensing,Enterprise,61959
2024-06-01,East,Licensing,SMB,45530
2024-06-01,East,Licensing,Startups,134856
2024-06-01,West,SaaS,Enterprise,43748
2024-06-01,West,SaaS,SMB,137504
2024-06-01,West,SaaS,Startups,138098
2024-06-01,West,Consulting,Enterprise,53545
2024-06-01,West,Consulting,SMB,106199
2024-06-01,West,Consulting,Startups,74766
2024-06-01,West,Licensing,Enterprise,113530
2024-06-01,West,Licensing,SMB,133557
2024-06-01,West,Licensing,Startups,101087
2024-07-01,North,SaaS,Enterprise,135839
2024-07-01,North,SaaS,SMB,108840
2024-07-01,North,SaaS,Startups,94384
2024-07-01,North,Consulting,Enterprise,91005
2024-07-01,North,Consulting,SMB,86576
2024-07-01,North,Consulting,Startups,79353
2024-07-01,North,Licensing,Enterprise,102003
2024-07-01,North,Licensing,SMB,123211
2024-07-01,North,Licensing,Startups,92733
2024-07-01,South,SaaS,Enterprise,105318
2024-07-01,South,SaaS,SMB,149953
2024-07-01,South,SaaS,Startups,129474
2024-07-01,South,Consulting,Enterprise,63664
2024-07-01,South,Consulting,SMB,107172
2024-07-01,South,Consulting,Startups,125616
2024-07-01,South,Licensing,Enterprise,133264
2024-07-01,South,Licensing,SMB,66736
2024-07-01,South,Licensing,Startups,134209
2024-07-01,East,SaaS,Enterprise,143041
2024-07-01,East,SaaS,SMB,40854
2024-07-01,East,SaaS,Startups,130084
2024-07-01,East,Consulting,Enterprise,78623
2024-07-01,East,Consulting,SMB,47392
2024-07-01,East,Consulting,Startups,95680
2024-07-01,East,Licensing,Enterprise,86717
2024-07-01,East,Licensing,SMB,127092
2024-07-01,East,Licensing,Startups,90859
2024-07-01,West,SaaS,Enterprise,144095
2024-07-01,West,SaaS,SMB,66309
2024-07-01,West,SaaS,Startups,127455
2024-07-01,West,Consulting,Enterprise,103734
2024-07-01,West,Consulting,SMB,110467
2024-07-01,West,Consulting,Startups,92662
2024-07-01,West,Licensing,Enterprise,138506
2024-07-01,West,Licensing,SMB,149751
2024-07-01,West,Licensing,Startups,52688
2024-08-01,North,SaaS,Enterprise,65342
2024-08-01,North,SaaS,SMB,77157
2024-08-01,North,SaaS,Startups,107863
2024-08-01,North,Consulting,Enterprise,146308
2024-08-01,North,Consulting,SMB,92083
2024-08-01,North,Consulting,Startups,146081
2024-08-01,North,Licensing,Enterprise,105733
2024-08-01,North,Licensing,SMB,129045
2024-08-01,North,Licensing,Startups,74698
2024-08-01,South,SaaS,Enterprise,120623
2024-08-01,South,SaaS,SMB,62671
2024-08-01,South,SaaS,Startups,65184
2024-08-01,South,Consulting,Enterprise,133384
2024-08-01,South,Consulting,SMB,82107
2024-08-01,South,Consulting,Startups,126202
2024-08-01,South,Licensing,Enterprise,149893
2024-08-01,South,Licensing,SMB,91663
2024-08-01,South,Licensing,Startups,55708
2024-08-01,East,SaaS,Enterprise,131906
2024-08-01,East,SaaS,SMB,89811
2024-08-01,East,SaaS,Startups,42811
2024-08-01,East,Consulting,Enterprise,96250
2024-08-01,East,Consulting,SMB,112082
2024-08-01,East,Consulting,Startups,74754
2024-08-01,East,Licensing,Enterprise,135742
2024-08-01,East,Licensing,SMB,146642
2024-08-01,East,Licensing,Startups,51411
2024-08-01,West,SaaS,Enterprise,42911
2024-08-01,West,SaaS,SMB,107270
2024-08-01,West,SaaS,Startups,123763
2024-08-01,West,Consulting,Enterprise,48680
2024-08-01,West,Consulting,SMB,124896
2024-08-01,West,Consulting,Startups,123879
2024-08-01,West,Licensing,Enterprise,111295
2024-08-01,West,Licensing,SMB,128614
2024-08-01,West,Licensing,Startups,140689
2024-09-01,North,SaaS,Enterprise,51111
2024-09-01,North,SaaS,SMB,77504
2024-09-01,North,SaaS,Startups,41802
2024-09-01,North,Consulting,Enterprise,48155
2024-09-01,North,Consulting,SMB,113656
2024-09-01,North,Consulting,Startups,79384
2024-09-01,North,Licensing,Enterprise,87254
2024-09-01,North,Licensing,SMB,61918
2024-09-01,North,Licensing,Startups,125981
2024-09-01,South,SaaS,Enterprise,100713
2024-09-01,South,SaaS,SMB,70306
2024-09-01,South,SaaS,Startups,56646
2024-09-01,South,Consulting,Enterprise,86843
2024-09-01,South,Consulting,SMB,136601
2024-09-01,South,Consulting,Startups,130735
2024-09-01,South,Licensing,Enterprise,147512
2024-09-01,South,Licensing,SMB,56371
2024-09-01,South,Licensing,Startups,117371
2024-09-01,East,SaaS,Enterprise,42049
2024-09-01,East,SaaS,SMB,71616
2024-09-01,East,SaaS,Startups,143727
2024-09-01,East,Consulting,Enterprise,60932
2024-09-01,East,Consulting,SMB,69855
2024-09-01,East,Consulting,Startups,101434
2024-09-01,East,Licensing,Enterprise,112694
2024-09-01,East,Licensing,SMB,83016
2024-09-01,East,Licensing,Startups,47400
2024-09-01,West,SaaS,Enterprise,82642
2024-09-01,West,SaaS,SMB,55151
2024-09-01,West,SaaS,Startups,91407
2024-09-01,West,Consulting,Enterprise,106690
2024-09-01,West,Consulting,SMB,44499
2024-09-01,West,Consulting,Startups,46295
2024-09-01,West,Licensing,Enterprise,99040
2024-09-01,West,Licensing,SMB,52183
2024-09-01,West,Licensing,Startups,69299
2024-10-01,North,SaaS,Enterprise,52874
2024-10-01,North,SaaS,SMB,72711
2024-10-01,North,SaaS,Startups,45539
2024-10-01,North,Consulting,Enterprise,147941
2024-10-01,North,Consulting,SMB,93351
2024-10-01,North,Consulting,Startups,101267
2024-10-01,North,Licensing,Enterprise,88354
2024-10-01,North,Licensing,SMB,42557
2024-10-01,North,Licensing,Startups,78360
2024-10-01,South,SaaS,Enterprise,122018
2024-10-01,South,SaaS,SMB,42200
2024-10-01,South,SaaS,Startups,108497
2024-10-01,South,Consulting,Enterprise,86975
2024-10-01,South,Consulting,SMB,61357
2024-10-01,South,Consulting,Startups,117505
2024-10-01,South,Licensing,Enterprise,42869
2024-10-01,South,Licensing,SMB,101135
2024-10-01,South,Licensing,Startups,90108
2024-10-01,East,SaaS,Enterprise,134179
2024-10-01,East,SaaS,SMB,130272
2024-10-01,East,SaaS,Startups,78467
2024-10-01,East,Consulting,Enterprise,63328
2024-10-01,East,Consulting,SMB,131412
2024-10-01,East,Consulting,Startups,126831
2024-10-01,East,Licensing,Enterprise,43987
2024-10-01,East,Licensing,SMB,98871
2024-10-01,East,Licensing,Startups,62399
2024-10-01,West,SaaS,Enterprise,86214
2024-10-01,West,SaaS,SMB,139522
2024-10-01,West,SaaS,Startups,126416
2024-10-01,West,Consulting,Enterprise,110271
2024-10-01,West,Consulting,SMB,84064
2024-10-01,West,Consulting,Startups,110091
2024-10-01,West,Licensing,Enterprise,147450
2024-10-01,West,Licensing,SMB,80818
2024-10-01,West,Licensing,Startups,85525
2024-11-01,North,SaaS,Enterprise,59830
2024-11-01,North,SaaS,SMB,57429
2024-11-01,North,SaaS,Startups,46893
2024-11-01,North,Consulting,Enterprise,119909
2024-11-01,North,Consulting,SMB,87333
2024-11-01,North,Consulting,Startups,43436
2024-11-01,North,Licensing,Enterprise,114290
2024-11-01,North,Licensing,SMB,116213
2024-11-01,North,Licensing,Startups,45895
2024-11-01,South,SaaS,Enterprise,59738
2024-11-01,South,SaaS,SMB,70746
2024-11-01,South,SaaS,Startups,89377
2024-11-01,South,Consulting,Enterprise,88404
2024-11-01,South,Consulting,SMB,94045
2024-11-01,South,Consulting,Startups,137888
2024-11-01,South,Licensing,Enterprise,79790
2024-11-01,South,Licensing,SMB,147455
2024-11-01,South,Licensing,Startups,45600
2024-11-01,East,SaaS,Enterprise,134660
2024-11-01,East,SaaS,SMB,133179
2024-11-01,East,SaaS,Startups,80764
2024-11-01,East,Consulting,Enterprise,114543
2024-11-01,East,Consulting,SMB,85714
2024-11-01,East,Consulting,Startups,96835
2024-11-01,East,Licensing,Enterprise,142946
2024-11-01,East,Licensing,SMB,149616
2024-11-01,East,Licensing,Startups,145983
2024-11-01,West,SaaS,Enterprise,113744
2024-11-01,West,SaaS,SMB,96491
2024-11-01,West,SaaS,Startups,58589
2024-11-01,West,Consulting,Enterprise,83484
2024-11-01,West,Consulting,SMB,122989
2024-11-01,West,Consulting,Startups,76212
2024-11-01,West,Licensing,Enterprise,83525
2024-11-01,West,Licensing,SMB,87202
2024-11-01,West,Licensing,Startups,72635
2024-12-01,North,SaaS,Enterprise,103208
2024-12-01,North,SaaS,SMB,73828
2024-12-01,North,SaaS,Startups,58711
2024-12-01,North,Consulting,Enterprise,43420
2024-12-01,North,Consulting,SMB,136752
2024-12-01,North,Consulting,Startups,40301
2024-12-01,North,Licensing,Enterprise,85236
2024-12-01,North,Licensing,SMB,106235
2024-12-01,North,Licensing,Startups,94240
2024-12-01,South,SaaS,Enterprise,105726
2024-12-01,South,SaaS,SMB,50492
2024-12-01,South,SaaS,Startups,141279
2024-12-01,South,Consulting,Enterprise,46102
2024-12-01,South,Consulting,SMB,90336
2024-12-01,South,Consulting,Startups,125314
2024-12-01,South,Licensing,Enterprise,66641
2024-12-01,South,Licensing,SMB,74584
2024-12-01,South,Licensing,Startups,72745
2024-12-01,East,SaaS,Enterprise,63093
2024-12-01,East,SaaS,SMB,106105
2024-12-01,East,SaaS,Startups,143746
2024-12-01,East,Consulting,Enterprise,140199
2024-12-01,East,Consulting,SMB,91885
2024-12-01,East,Consulting,Startups,76631
2024-12-01,East,Licensing,Enterprise,112991
2024-12-01,East,Licensing,SMB,44014
2024-12-01,East,Licensing,Startups,51093
2024-12-01,West,SaaS,Enterprise,58070
2024-12-01,West,SaaS,SMB,75777
2024-12-01,West,SaaS,Startups,96958
2024-12-01,West,Consulting,Enterprise,122074
2024-12-01,West,Consulting,SMB,50729
2024-12-01,West,Consulting,Startups,139713
2024-12-01,West,Licensing,Enterprise,85017
2024-12-01,West,Licensing,SMB,106320
2024-12-01,West,Licensing,Startups,67751
